District Name,School Name,Organization Type,Organization Code,Address,Town,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet,Location
Lebanon School District,Lebanon School District,Public School Districts,0710011,891 Exeter Road,Lebanon,06249,860-642-7795,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"891 Exeter Road
Lebanon, CT 06249
(41.626687, -72.237829)"
Southington School District,Southington Public Schools Preschool Program at Hatton School,Public Schools,1312011,50 Spring Lake Rd,Southington,06489,860-628-3377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-07-01T00:00:00.000,,"50 Spring Lake Rd
Southington, CT 06489
(41.601461, -72.854797)"
Southington School District,Strong Elementary School,Public Schools,1310811,820 Marion Ave.,Plantsville,06479-1461,860-628-3314,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"820 Marion Ave.
Plantsville, CT 06479-1461
(41.573775, -72.918498)"
Bethany School District,Bethany School District,Public School Districts,0080011,44 Peck Road,Bethany,06524,203-393-1170,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1996-07-01T00:00:00.000,0,"44 Peck Road
Bethany, CT 06524
(41.421904, -72.999047)"
Westport School District,Green's Farms School,Public Schools,1580411,17 Morningside Dr. South,Westport,06880,203-222-3610,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"17 Morningside Dr. South
Westport, CT 06880
(41.137648, -73.325546)"
Ashford School District,Ashford School,Public Schools,0030111,440 Westford Rd.,Ashford,06278-1113,860-429-6419,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1998-07-01T00:00:00.000,0,"440 Westford Rd.
Ashford, CT 06278-1113
(41.892257, -72.17014)"
Bridgeport School District,Geraldine Johnson School,Public Schools,0153211,475 Lexington Avenue,Bridgeport,06604-2675,203-275-2500,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"475 Lexington Avenue
Bridgeport, CT 06604-2675
(41.185589, -73.203578)"
Windsor School District,Clover Street School,Public Schools,1640111,57 Clover St.,Windsor,06095-3708,860-687-2050,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"57 Clover St.
Windsor, CT 06095-3708
(41.831359, -72.662612)"
New Haven School District,Benjamin Jepson Magnet School,Public Schools,0931811,15 Lexington Ave.,New Haven,06513,475-220-2900,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1990-07-01T00:00:00.000,1,"15 Lexington Ave.
New Haven, CT 06513
(41.297962, -72.888476)"
Franklin School District,Franklin School District,Public School Districts,0530011,206 Pond Road,North Franklin,06254,860-642-6113,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"206 Pond Road
North Franklin, CT 06254
(41.631005, -72.127589)"
Canton School District,Canton High School,Public Schools,0236111,76 Simonds Avenue,Canton,06019-1207,860-693-7707,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"76 Simonds Avenue
Canton, CT 06019-1207
(41.823647, -72.91683)"
Bridgeport School District,Edison School,Public Schools,0150711,115 Boston Terrace,Bridgeport,06610-2505,203-576-7183,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"115 Boston Terrace
Bridgeport, CT 06610-2505
(41.19513, -73.162767)"
Wallingford School District,Mark T. Sheehan High School,Public Schools,1486211,142 Hope Hill Road,Wallingford,06492-2254,203-294-5900,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"142 Hope Hill Road
Wallingford, CT 06492-2254
(41.48641, -72.832693)"
Hartford School District,Wish Museum School,Public Schools,0642211,350 Barbour Street,Hartford,06120-1002,860-695-5600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"350 Barbour Street
Hartford, CT 06120-1002
(41.794944, -72.676755)"
East Lyme School District,Niantic Center School,Public Schools,0450211,7 West Main St.,Niantic,06357-2319,860-739-3961,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"7 West Main St.
Niantic, CT 06357-2319
(41.32218, -72.203865)"
Ellington School District,Ellington School District,Public School Districts,0480011,47 Main Street,Ellington,06029,860-896-2300,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"47 Main Street
Ellington, CT 06029
(41.903111, -72.465869)"
Litchfield School District,Litchfield Intermediate School,Public Schools,0740311,"35 Plumb Hill Road, P.O. Box 110",Litchfield,06759,860-567-7520,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1997-07-01T00:00:00.000,0,"35 Plumb Hill Road, P.O. Box 110
Litchfield, CT 06759
(41.740259, -73.205766)"
Montville School District,Oakdale School,Public Schools,0860511,30 Indiana Circle,Oakdale,06370-1628,860-859-1800,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"30 Indiana Circle
Oakdale, CT 06370-1628
(41.470735, -72.19241)"
East Hampton School District,Center School,Public Schools,0420311,7 Summit St.,East Hampton,06424-1298,860-365-4050,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"7 Summit St.
East Hampton, CT 06424-1298
(41.576247, -72.501745)"
Norwich School District,Bishop School Early Learning Center,Public Schools,1040111,526 East Main St.,Norwich,06360-5909,860-823-4201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"526 East Main St.
Norwich, CT 06360-5909
(41.522619, -72.062789)"
Waterbury School District,Gilmartin School,Public Schools,1512611,107 Wyoming Ave.,Waterbury,06706-2742,203-574-8175,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"107 Wyoming Ave.
Waterbury, CT 06706-2742
(41.52396, -73.029116)"
Unified School District #1,Willard/Cybulski Correctional Institution,State Agency Facilities,3361515,391 Shaker Rd.,Enfield,06082-2329,860-763-6190,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"391 Shaker Rd.
Enfield, CT 06082-2329
(42.016447, -72.506094)"
Regional School District 10,Har-Bur Middle School,Regional Schools,2105112,26 Lyon Rd.,Burlington,06013-1313,860-673-6163,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,0,"26 Lyon Rd.
Burlington, CT 06013-1313
(41.781138, -72.9894)"
Middletown School District,Bielefield School,Public Schools,0830211,70 Maynard St.,Middletown,06457-4519,860-347-4124,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"70 Maynard St.
Middletown, CT 06457-4519
(41.542674, -72.633104)"
Judicial Centers,Bridgeport Detention Center,State Agency Facilities,3480115,60 Housatonic Ave,Bridgeport,06604,203-579-3671,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2009-05-14T00:00:00.000,0,"60 Housatonic Ave
Bridgeport, CT 06604
(41.182747, -73.189506)"
Sherman School District,Sherman School District,Public School Districts,1270011,2 Route 37 East,Sherman,06784,860-355-3793,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"2 Route 37 East
Sherman, CT 06784
(41.579093, -73.496179)"
Fairfield School District,Sherman School,Public Schools,0511311,250 Fern St.,Fairfield,06824,203-255-8330,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"250 Fern St.
Fairfield, CT 06824
(41.139507, -73.245095)"
Hartford School District,Sanchez School,Public Schools,0643011,176 Babcock Street,Hartford,06106-1357,860-695-4940,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1992-07-01T00:00:00.000,0,"176 Babcock Street
Hartford, CT 06106-1357
(41.758918, -72.689238)"
Vernon School District,Rockville High School,Public Schools,1466111,70 Loveland Hill,Vernon,06066-2304,860-870-6050,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"70 Loveland Hill
Vernon, CT 06066-2304
(41.857053, -72.482569)"
Stonington School District,Stonington HS PreK,Public Schools,1370211,176 South Broad St,Pawcatuck,06379,860-599-5781,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-07-01T00:00:00.000,,"176 South Broad St
Pawcatuck, CT 06379
(41.367539, -71.862829)"
Orange School District,Turkey Hill School,Public Schools,1070411,441 Turkey Hill Rd.,Orange,06477-2218,203-891-8040,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"441 Turkey Hill Rd.
Orange, CT 06477-2218
(41.287717, -73.043396)"
Hamden School District,Hamden School District,Public School Districts,0620011,60 Putnam Avenue,Hamden,06517,203-407-2000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"60 Putnam Avenue
Hamden, CT 06517
(41.345705, -72.914372)"
New Fairfield School District,New Fairfield High School,Public Schools,0916111,54 Gillotti Rd.,New Fairfield,06812-2525,203-312-5800,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"54 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.458613, -73.503245)"
New Britain School District,Pulaski Middle School,Public Schools,0895311,757 Farmington Ave.,New Britain,06053-1364,860-225-7665,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"757 Farmington Ave.
New Britain, CT 06053-1364
(41.698684, -72.791596)"
Bridgeport School District,A.B. Skane Center,Public Schools,0154411,2977 North Madison Ave.,Bridgeport,06606-2060,203-576-7181,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995-07-01T00:00:00.000,0,"2977 North Madison Ave.
Bridgeport, CT 06606-2060
(41.213669, -73.226375)"
Wolcott School District,Tyrrell Middle School,Public Schools,1665111,500 Todd Rd.,Wolcott,06716-3144,203-879-8151,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-07-01T00:00:00.000,0,"500 Todd Rd.
Wolcott, CT 06716-3144
(41.556446, -72.967019)"
Preston School District,Preston School District,Public School Districts,1140011,325 Shetucket Turnpike,Preston,06365,860-889-6098,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"325 Shetucket Turnpike
Preston, CT 06365
(41.528972, -71.986324)"
East Hartford School District,Dr. Thomas S. O'Connell School,Public Schools,0431011,301 May Rd.,East Hartford,06118-3434,860-622-5460,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"301 May Rd.
East Hartford, CT 06118-3434
(41.73434, -72.596633)"
Interdistrict School for Arts and Comm District,Interdistrict School For Arts And Communication,Public Charter Schools,2655113,190 Governor Winthrop Blvd.,New London,06320,860-447-1003,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1997-08-27T00:00:00.000,0,"190 Governor Winthrop Blvd.
New London, CT 06320
(41.355977, -72.098468)"
Stafford School District,Stafford School District,Public School Districts,1340011,16 Levinthal Run,Stafford Springs,06076,860-684-2208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"16 Levinthal Run
Stafford Springs, CT 06076
(41.968501, -72.305488)"
Farmington School District,West Woods Upper Elementary School,Public Schools,0520511,50 Judson Ln.,Farmington,06032,860-284-1230,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2002-07-01T00:00:00.000,0,"50 Judson Ln.
Farmington, CT 06032
(41.712339, -72.874813)"
Regional School District 18,Regional School District 18,Regional School Districts,2180012,49 Lyme Street,Old Lyme,06371,860-434-7238,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"49 Lyme Street
Old Lyme, CT 06371
(41.317459, -72.329633)"
Capitol Region Education Council,Two Rivers Magnet Middle School,Regional Education Service Center Schools,2415014,337 East River Dr.,East Hartford,06108,860-290-5320,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2002-07-01T00:00:00.000,1,"337 East River Dr.
East Hartford, CT 06108
(41.759427, -72.656885)"
Coventry School District,George Hersey Robertson School,Public Schools,0320411,227 Cross Street,Coventry,06238-3304,860-742-7341,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"227 Cross Street
Coventry, CT 06238-3304
(41.76068, -72.311492)"
Glastonbury School District,Smith Middle School,Public Schools,0545211,216 Addison Rd.,Glastonbury,06033,860-652-7040,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"216 Addison Rd.
Glastonbury, CT 06033
(41.722627, -72.580109)"
Westport School District,Bedford Middle School,Public Schools,1585111,88 North Ave.,Westport,06880,203-341-1510,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"88 North Ave.
Westport, CT 06880
(41.156535, -73.333384)"
Newtown School District,Sandy Hook Elementary School,Public Schools,0970211,12 Dickinson Drive,Sandy Hook,06482,203-426-7657,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"12 Dickinson Drive
Sandy Hook, CT 06482
(41.420246, -73.277753)"
Sharon School District,Sharon School District,Public School Districts,1250011,80 Hilltop Road,Sharon,06069,860-364-5153,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"80 Hilltop Road
Sharon, CT 06069
(41.882632, -73.473463)"
Manchester School District,Keeney School,Public Schools,0770611,179 Keeney St.,Manchester,06040-7017,860-647-3354,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"179 Keeney St.
Manchester, CT 06040-7017
(41.756412, -72.541535)"
Greenwich School District,Old Greenwich School,Public Schools,0570911,825 Sound Beach Ave.,Old Greenwich,06870-1641,203-637-0150,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,
Litchfield School District,Center School,Public Schools,0740211,"125 West St., P.O. Box 110",Litchfield,06759,860-567-7510,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"125 West St., P.O. Box 110
Litchfield, CT 06759
(41.746627, -73.194856)"
Stonington School District,West Broad Street School,Public Schools,1370411,131 West Broad St.,Pawcatuck,06379-1827,860-599-5633,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"131 West Broad St.
Pawcatuck, CT 06379-1827
(41.376123, -71.837413)"
Hebron School District,Gilead Hill School,Public Schools,0670211,580 Gilead St.,Hebron,06248-1314,860-228-9458,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"580 Gilead St.
Hebron, CT 06248-1314
(41.675253, -72.409536)"
Bloomfield School District,Carmen Arace Middle School,Public Schools,0115211,390 Park Ave.,Bloomfield,06002-3100,860-286-2622,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"390 Park Ave.
Bloomfield, CT 06002-3100
(41.82236, -72.714592)"
West Hartford School District,Norfeldt School,Public Schools,1551011,35 Barksdale Rd.,West Hartford,06117-1605,860-233-4421,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"35 Barksdale Rd.
West Hartford, CT 06117-1605
(41.795079, -72.761635)"
Waterford School District,Waterford High School,Public Schools,1526111,20 Rope Ferry Rd.,Waterford,06385-2894,860-437-6956,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"20 Rope Ferry Rd.
Waterford, CT 06385-2894
(41.342404, -72.131217)"
Regional School District 15,Regional School District 15,Regional School Districts,2150012,"286 Whittemore Road, Box 395",Middlebury,06762,203-758-8259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2002-07-01T00:00:00.000,0,"286 Whittemore Road, Box 395
Middlebury, CT 06762
(41.527037, -73.091015)"
Danbury School District,Shelter Rock School,Public Schools,0341211,2 Crows Nest Rd.,Danbury,06810-7056,203-797-4777,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"2 Crows Nest Rd.
Danbury, CT 06810-7056
(41.393654, -73.419978)"
Stonington School District,West Vine Street School,Public Schools,1370611,17 West Vine St.,Pawcatuck,06379,860-599-5832,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"17 West Vine St.
Pawcatuck, CT 06379
(41.385844, -71.840263)"
Enfield School District,Enfield High School,Public Schools,0496111,1264 Enfield St.,Enfield,06082-4919,860-253-5540,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"1264 Enfield St.
Enfield, CT 06082-4919
(41.979164, -72.592198)"
Cornwall School District,Cornwall School District,Public School Districts,0310011,5 Cream Hill Road,Cornwall,06796,860-672-6617,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"5 Cream Hill Road
Cornwall, CT 06796
(41.876142, -73.341947)"
Connecticut Technical Education and Career System,E. C. Goodwin Technical High School,CT Technical Education and Career Schools,9001916,735 Slater Rd.,New Britain,06053-2200,860-827-7736,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2000-07-01T00:00:00.000,0,"735 Slater Rd.
New Britain, CT 06053-2200
(41.687035, -72.807096)"
Bethel School District,Bethel High School,Public Schools,0096111,300 Whittlesey Dr.,Bethel,06801-1517,203-794-8600,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"300 Whittlesey Dr.
Bethel, CT 06801-1517
(41.380332, -73.394449)"
Bridgeport School District,Bridgeport School District,Public School Districts,0150011,"45 Lyon Terrace, Rm 303",Bridgeport,06604,203-275-1037,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"45 Lyon Terrace, Rm 303
Bridgeport, CT 06604
(41.181035, -73.192938)"
Stamford School District,Stillmeadow School,Public Schools,1352111,800 Stillwater Rd.,Stamford,06902,203-977-4507,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"800 Stillwater Rd.
Stamford, CT 06902
(41.069594, -73.557955)"
Hartford School District,Great Path Academy at MCC,Public Schools,0647911,"60 Bidwell Street, MS #20",Manchester,06045,860-521-3700,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2012-07-01T00:00:00.000,1,"60 Bidwell Street, MS #20
Manchester, CT 06045
(41.76422, -72.554374)"
Suffield School District,Suffield School District,Public School Districts,1390011,350 Mountain Road,Suffield,06078,860-668-3800,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"350 Mountain Road
Suffield, CT 06078
(41.983646, -72.661489)"
Derby School District,Irving School,Public Schools,0370411,9 Garden Place,Derby,06418-1416,203-736-5043,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"9 Garden Place
Derby, CT 06418-1416
(41.328053, -73.088128)"
Darien School District,Ox Ridge Elementary School,Public Schools,0351311,395 Mansfield Ave.,Darien,06820-2113,203-655-2579,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"395 Mansfield Ave.
Darien, CT 06820-2113
(41.10372, -73.483417)"
Berlin School District,Emma Hart Willard School,Public Schools,0070411,1088 Norton Rd.,Berlin,06037-3020,860-828-4151,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1088 Norton Rd.
Berlin, CT 06037-3020
(41.616478, -72.758268)"
Learn,Regional Multicultural Magnet School,Regional Education Service Center Schools,2450114,One Bulkeley Place,New London,06320,860-437-7775,0,1,1,1,1,1,1,0,0,0,0,0,0,0,2000-07-01T00:00:00.000,1,
Ledyard School District,Ledyard School District,Public School Districts,0720011,4 Blonder Boulevard,Ledyard,06339,860-464-9255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"4 Blonder Boulevard
Ledyard, CT 06339
(41.438685, -72.004388)"
Southington School District,Southington High School,Public Schools,1316211,720 Pleasant Street,Southington,06489-2713,860-628-3229,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"720 Pleasant Street
Southington, CT 06489-2713
(41.615713, -72.859319)"
Tolland School District,Tolland School District,Public School Districts,1420011,51 Tolland Grn,Tolland,06084-3030,860-870-6850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1984-07-01T00:00:00.000,0,"51 Tolland Grn
Tolland, CT 06084-3030
(41.871749, -72.369152)"
Fairfield School District,Stratfield School,Public Schools,0511411,1407 Melville Ave.,Fairfield,06825,203-255-8332,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1407 Melville Ave.
Fairfield, CT 06825
(41.195406, -73.236879)"
Thompson School District,Thompson Middle School,Public Schools,1415111,785 Riverside Dr.,North Grosvenordale,06255-0835,860-923-9380,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"785 Riverside Dr.
North Grosvenordale, CT 06255-0835
(41.976913, -71.900699)"
Hartford School District,"M. L. King, Jr. School",Public Schools,0641611,260 Holcomb Street,Hartford,06112,860-695-3980,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"260 Holcomb Street
Hartford, CT 06112
(41.795753, -72.700253)"
New London School District,New London School District,Public School Districts,0950011,134 Williams Street,New London,06320,860-447-6000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"134 Williams Street
New London, CT 06320
(41.357259, -72.10592)"
Ridgefield School District,Ridgefield High School,Public Schools,1186111,700 North Salem Rd.,Ridgefield,06877-1716,203-894-5750,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"700 North Salem Rd.
Ridgefield, CT 06877-1716
(41.325216, -73.528378)"
New Haven School District,Nathan Hale School,Public Schools,0931411,480 Townsend Ave.,New Haven,06512-3964,475-220-4200,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"480 Townsend Ave.
New Haven, CT 06512-3964
(41.269756, -72.896859)"
Granby School District,Granby Memorial Middle School,Public Schools,0565111,321 Salmon Brook St.,Granby,06035-1804,860-844-3029,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"321 Salmon Brook St.
Granby, CT 06035-1804
(41.961472, -72.790264)"
East Hartford School District,East Hartford School District,Public School Districts,0430011,1110 Main Street,East Hartford,06108,860-622-5101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"1110 Main Street
East Hartford, CT 06108
(41.772887, -72.641536)"
Griswold School District,Griswold Middle School,Public Schools,0585111,211 Slater Ave.,Griswold,06351-2525,860-376-7630,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1992-07-01T00:00:00.000,0,"211 Slater Ave.
Griswold, CT 06351-2525
(41.598241, -71.979317)"
Brooklyn School District,Brooklyn School District,Public School Districts,0190011,119 Gorman Road,Brooklyn,06234,860-774-9732,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"119 Gorman Road
Brooklyn, CT 06234
(41.785169, -71.934756)"
Easton School District,Easton School District,Public School Districts,0460011,654 Morehouse Road,Easton,06612,203-261-2513,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1996-07-01T00:00:00.000,0,"654 Morehouse Road
Easton, CT 06612
(41.250684, -73.295676)"
East Windsor School District,East Windsor School District,Public School Districts,0470011,70 South Main Street,East Windsor,06088,860-623-3346,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1996-07-01T00:00:00.000,0,"70 South Main Street
East Windsor, CT 06088
(41.902961, -72.611906)"
Ansonia School District,Prendergast School,Public Schools,0020811,59 Finney St.,Ansonia,06401,203-736-5080,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1999-07-01T00:00:00.000,0,"59 Finney St.
Ansonia, CT 06401
(41.333148, -73.059031)"
Glastonbury School District,Eastbury School,Public Schools,0540311,1389 Neipsic Rd.,Glastonbury,06033-3414,860-652-7858,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"1389 Neipsic Rd.
Glastonbury, CT 06033-3414
(41.695929, -72.537741)"
Cheshire School District,Norton School,Public Schools,0250511,414 North Brooksvale Rd.,Cheshire,06410-3340,203-272-7283,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"414 North Brooksvale Rd.
Cheshire, CT 06410-3340
(41.478148, -72.918545)"
Waterbury School District,H. S. Chase School,Public Schools,1510711,40 Woodtick Rd.,Waterbury,06705-2207,203-574-8188,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"40 Woodtick Rd.
Waterbury, CT 06705-2207
(41.552938, -73.006376)"
Stafford School District,Staffordville School,Public Schools,1340311,21 Lyons Rd.,Stafford Springs,06076,860-684-3298,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"21 Lyons Rd.
Stafford Springs, CT 06076
(41.995565, -72.258546)"
Clinton School District,The Morgan School,Public Schools,0276111,71 Killingworth Tpke.,Clinton,06413-1399,860-664-6504,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1984-07-01T00:00:00.000,0,"71 Killingworth Tpke.
Clinton, CT 06413-1399
(41.30045, -72.533227)"
Guilford School District,Calvin Leete School,Public Schools,0600411,280 South Union St.,Guilford,06437-2825,203-453-2726,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"280 South Union St.
Guilford, CT 06437-2825
(41.282213, -72.668928)"
Monroe School District,Jockey Hollow School,Public Schools,0855211,365 Fan Hill Rd.,Monroe,06468,203-452-2905,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1998-07-01T00:00:00.000,0,"365 Fan Hill Rd.
Monroe, CT 06468
(41.346321, -73.230565)"
Fairfield School District,Holland Hill School,Public Schools,0510411,105 Meadowcroft Road,Fairfield,06824,203-255-8314,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"105 Meadowcroft Road
Fairfield, CT 06824
(41.171794, -73.24378)"
Hampton School District,Hampton Elementary School,Public Schools,0630111,380 Main St.,Hampton,06247-1416,860-455-9409,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"380 Main St.
Hampton, CT 06247-1416
(41.792028, -72.059904)"
Bridgeport School District,Blackham School,Public Schools,0154011,425 Thorme St.,Bridgeport,06606-3418,203-576-7951,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"425 Thorme St.
Bridgeport, CT 06606-3418
(41.205757, -73.214523)"
Stamford School District,K. T. Murphy School,Public Schools,1350511,19 Horton St.,Stamford,06902-6216,203-977-4516,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"19 Horton St.
Stamford, CT 06902-6216
(41.048254, -73.510631)"
Eastford School District,Eastford Elementary School,Public Schools,0390111,"12 Westford Road, P.O. Box 158",Eastford,06242-0158,860-974-1130,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1984-07-01T00:00:00.000,0,"12 Westford Road, P.O. Box 158
Eastford, CT 06242-0158
(41.902412, -72.081749)"
Madison School District,J. Milton Jeffrey Elementary School,Public Schools,0760111,331 Copse Rd.,Madison,06443-2372,203-245-6460,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1984-07-01T00:00:00.000,0,"331 Copse Rd.
Madison, CT 06443-2372
(41.295666, -72.61482)"
